"name",100,50,30,20,10,5
"Pletters",4996,4997,4984,4900,4063,2358
"cosine_similarity + euclidean_scaled",4998,4986,4914,4659,3528,2198
"cosine_similarity + normalised",4997,4993,4917,4659,3557,2084
"l1 + euclidean_scaled",4998,4992,4951,4755,3767,2192
"l1 + normalised",4998,4996,4936,4767,3596,2161
"l2 + euclidean_scaled",4998,4990,4926,4683,3567,2179
"l2 + normalised",4995,4993,4920,4672,3610,2135
"l3 + euclidean_scaled",4996,4964,4822,4457,3167,2018
"l3 + normalised",4999,4973,4797,4351,2872,1989
